PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;7974;7754;9945;9667;9178;8970;8679;8968;7729;7631;7143;7554;101192
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;4114,3169;3527,1031;2909,3169;3003,2101;3063,317;2924,21;3537,317;3134,3171;2671,21;3115,3171;3044,974;3173,317;38217,9262
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;14762,0362;15058,868;15698,9533;14524,3878;15899,46;15795,941;16844,3421;15952,477;14580,4399;16950,2421;16813,417;16432,9433;189313,5077
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;93,0002;88;93;90,0001;92,9999;90;93;93;90,0001;93,0001;90;93;1099,0004
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;SERGIPE;9422,0611;8837,4297;10650,5482;9601,0234;8970,5305;9911,6511;9447,0411;8817,2246;8480,6689;8152,1984;8543,8627;9403,1238;110237,3635
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;BAHIA;6741,3112;6100,6262;6532,2987;6606,9314;6937,4311;6467,2269;6473,8302;6658,9771;6444,5931;6596,9521;6322,6769;6502,7802;78385,6351
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;1153,2373;1212,5979;1400,6668;1352,7338;1470,6065;1539,8916;1556,0363;1611,789;1609,2553;1786,6972;1835,7436;1800,1514;18329,4067
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m2;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;1412;1206;1370;1223;1171;1239;1319;976;1338;1179;1041;1322;14796
MAR (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;3089,647;3471,029;4188,73;3141,402;3493,223;4845,8491;5175,3411;4344,206;5063,35;5423,4411;4746,609;4709,7401;51692,5674
MAR (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
