PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;56886,516;55317,036;70947,63;68964,378;65475,852;63991,98;61915,986;63977,712;55138,686;54439,554;50958,162;53890,236;721903,728
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;29351,5367646;25162,3535154;20755,0667646;21424,9008534;21853,703478;20861,31414;25235,219478;22360,2181914;19056,41214;22224,6721914;21722,844516;22638,443478;272646,6855108
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;105312,3662508;107429,964312;111996,3328422;103616,9825652;113426,74764;112688,243094;120167,5365414;113804,970918;104016,8582466;120923,0271414;119946,916878;117232,6175022;1350562,5639318
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;663,4634268;627,792;663,462;642,0607134;663,4612866;642,06;663,462;663,462;642,0607134;663,4627134;642,06;663,462;7840,2688536
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;67216,9838874;63046,2234798;75981,0108588;68493,7009356;63995,764587;70709,7189474;67395,1912074;62902,0802964;60501,0919326;58157,7833856;60951,9165018;67081,8851892;786433,351209
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;48092,5141008;43521,8673108;46601,4189258;47133,8486076;49491,6334674;46137,1967046;46184,3046468;47505,1426314;45975,7271754;47062,6562814;45105,9770046;46390,8339468;559203,1208034
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;8227,1948982;8650,6734186;9992,3569512;9650,4029292;10491,306771;10985,5866744;11100,7629642;11498,502726;11480,4273102;12746,2978248;13096,1948424;12842,2800876;130761,9873978
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;10073,208;8603,604;9773,58;8724,882;8353,914;8839,026;9409,746;6962,784;9545,292;8410,986;7426,494;9431,148;105554,664
MAR (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;22041,541698;24762,320886;29882,39982;22410,761868;24920,652882;34570,2874794;36920,8834074;30991,565604;36121,9389;38690,8288074;33862,308606;33599,2858734;368774,7758316
MAR (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;8297,1066714;7661,006415;8312,2935306;7212,1508298;6882,2147442;7459,688502;7761,5986686;7906,0043832;7505,781276;7035,0350118;6937,4383248;7860,5843454;90830,9027028
MAR (bep);bep;2000;REGIÃO NORDESTE;BAHIA;16,2212892;67,8743028;121,6653762;114,4486218;247,5455196;359,3495676;711,4224552;48,6046554;0;0;0;0;1687,1317878
MAR (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;947,1298152;851,813868;908,3950488;1014,9263574;723,341229;1320,564039;1126,9144626;436,679274;469,0226898;672,7561752;850,7751576;954,8766258;10277,1947424
MAR (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;672650,592;641674,764;732112,482;660437,1832866;681525,288;667581,6260358;660627,3386298;628976,8981878;658844,643345;622589,6039802;641986,3863942;697736,2015104;7966743,0073698
MAR (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;1990,386;1861,974;1990,386;1926,18;1990,386;1926,18;1990,386;1990,386;1926,18;1990,386;1926,18;1990,386;23499,396
MAR (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;856,08;1826,304;741,936;271,092;3695,412
TERRA (bep);bep;2001;REGIÃO NORTE;AMAZONAS;70412,58;52855,806;58027,956;54353,946;57899,544;59633,106;52442,034;58698,552;59583,168;67166,61;66053,706;65754,078;722881,086
TERRA (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;22017,7869048;1419,637464;1571,741478;1521,04014;1571,741478;1521,04014;24764,39688;19506,774426;22940,6604066;22946,3961426;19198,100514;21312,561042;160291,877016
TERRA (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;117024,7092;103099,9701708;121227,2993754;107468,780406;112471,776132;113077,2879366;115585,99542;110628,5303088;102716,1459894;88401,7022226;85450,609692;88114,274076;1265267,0809296
TERRA (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;663,4627134;599,256;663,4627134;642,0592866;663,4634268;642,06;663,462;663,462;663,4627134;877,4812866;848,946;884,616;8475,1941402
TERRA (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;72864,2304648;60236,353473;71727,0180732;64128,4227438;72899,246277;70157,9860884;75863,52672;73384,165659;68040,407289;71773,429737;72945,1150434;73362,1444278;847382,0459964
TERRA (bep);bep;2001;REGIÃO NORDESTE;BAHIA;43487,15184;39099,217491;45295,9076268;43956,8515464;46009,156386;47273,172774;49039,116;51078,730167;51299,5110588;47589,4386888;46110,609;47368,3332;557607,1957788
