PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;11763;9600;14147;11194,9997;13965;13833,0003;13442,0003;12244,44;10727;15453;12571;14969;153909,4403
TERRA (mil m3);mil m2;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;-4114,0303;-3526,9363;-2907,9592;-3003,2302;-3062,9478;-2923,7916;-3537,1671;-3134,2595;-2671,1708;-3115,2224;-3044,8865;-3172,3552;-38213,9569
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;3116,238;2062,8998;4193,0759;6484,6518;8987,1739;10085,9342;11891,5295;13528,6351;14259,6367;10858,931;7222,0016;7134,9342;99825,6417
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;35218,0178;31095,1679;34144,789;31869,1939;32818,6871;31173,9007;31835,165;35645,22;32947,2239;30351,3439;31568,157;33128,617;391795,4832
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;SERGIPE;-6217,9564;-5572,0796;-6647,2508;-5947,9205;-4946,4857;-5844,256;-5712,4519;-5372,4981;-5097,7953;-5231,3589;-5363,6339;-6255,6191;-68209,3062
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;BAHIA;136124,0373;102393,5614;129749,2411;125226,8247;134769,5731;130189,6285;135156,476;138923,2921;131078,0382;123213,0693;127329,2924;132189,2139;1546342,248
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;19333,7627;18972,9106;18760,3287;19025,3569;20544,7287;22147,9315;22705,7355;23042,2723;23298,7562;24335,5189;28491,3521;25914,987;266573,6411
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
