PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;74518,605;60816;89621,245;70920,3230995;88468,275;87632,0569005;85155,0719004999;77568,5274;67955,545;97894,755;79637,285;94828,615;975016,3043005
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;-26062,3819505;-22343,1414605;-18421,921532;-19025,463317;-19403,774313;-18522,219786;-22407,9535785;-19855,5339325;-16921,867018;-19734,933904;-19289,3559775;-20096,870192;-242085,4169615
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;19741,36773;13068,470233;26563,1358265;41080,269153;56933,7466565;63894,393157;75332,8393825;85703,9033585;90334,7984945;68791,327885;45751,380136;45199,808157;632395,4401695
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;223106,142763;196987,8886465;216307,238315;201891,3433565;207906,3827785;197486,6609345;201675,770275;225812,4687;208720,6634065;192275,7636065;199984,274595;209869,788695;2482024,386072
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;-39390,753794;-35299,124266;-42110,333818;-37680,0763675;-31335,9869095;-37023,36176;-36188,3827865;-34034,7754635;-32294,5332255;-33140,6586315;-33978,6207565;-39629,3469985;-432105,954777
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;862345,7762955;648663,211469;821961,4423685;793311,9344745;853765,2455885;824751,2965475;856216,27546;880079,0554535;830379,371997;780554,7940155;806631,067354;837418,6700565;9796078,14108
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;122479,3867045;120193,388651;118846,6823145;120525,6359615;130150,8563145;140307,1460525;143840,8343925;145972,7950205;147597,620527;154165,5122315;180492,7155535;164171,442645;1688744,0163685
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;52346,105;49191,275;42482,51;38504,13;36464,26;34373,71;40315,94;13043,765;34804,49;38547,208;35336,63;41506,92;456916,943
MAR (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;217403,497395;215478,5347925;236345,756822;231535,737027;241929,8483665;233703,8648035;223894,3618345;256527,6357455;214905,7038205;246231,4806105;269809,3762875;269473,920933;2857239,718438
MAR (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;90793,22;84356,86;98388,885;88743,214;88189,535;90634,845;92554,35;94461,185;91414,05;94068,415;48274,6005;94068,415;1055947,5745
MAR (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;328886,8077565;265907,905088;273976,800923;298236,585864;321347,3202695;298130,6412245;324919,9397185;362716,938647;334338,006205;268042,8982805;254013,087363;280836,4979315;3611353,429271
MAR (bep);bep;2000;REGIÃO NORDESTE;BAHIA;-14,4038895;-60,297797;-107,992745;-101,8332245;-220,0063145;-318,8842615;-631,9713645;-43,3763785;0;0;0;0;-1498,765975
MAR (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;147,207662;168,49833;16,894178;-27,0257435;-8,82782250000011;252,7126525;-164,4813065;74,683315;45,9623255;1,918238;-159,999294;-49,7215145;297,82102
MAR (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;1417095,1543665;1266436,1818325;1551537,793267;1412343,9005655;1442022,7465;1296150,0989605;1125899,5649755;1198201,9551145;1235057,2353875;1285900,0904995;1335057,6569645;1354597,557124;15920299,9355575
MAR (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;212615,27;236833,975;153642,755;149195,585;185786,545;148682,45;162163,33;154212,905;144906,79;153915,16;168644,035;161694,54;2032293,34
MAR (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORTE;AMAZONAS;130588,264625;103786,305;126769,685;134416,03;140705,044235;137505,869235;127369,8629;138532,139235;145842,729235;160216,844235;143969,21;149125,9;1638827,8837
TERRA (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;-19543,5959985;-1252,399092;-1387,302917;-1342,5949215;-1386,988701;-1344,167902;-21987,83475;-17318,0813575;-20367,977784;-20372,810122;-17044,21614;-18924,4130985;-142272,382784
TERRA (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;60558,9922175;68816,499374;89379,8973375;73458,549178;69991,212361;62649,8500985;58796,2753;62007,692054;62037,6876455;50759,0246905;59485,350988;66506,858467;784447,8897115
TERRA (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;200394,5665715;179236,351385;208170,6523715;203136,8689735;231570,659348;202138,250615;235705,26805;204423,335795;182542,2071515;217631,330602;226130,70109;218631,37877;2509711,570723
TERRA (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;-45367,1693545;-34581,577821;-40877,6220055;-33898,560927;-40783,0784655;-38262,644868;-42890,1039;-40534,73823;-35739,240789;-38747,666405;-41165,9202535;-40606,4928745;-473454,8158935
TERRA (bep);bep;2001;REGIÃO NORDESTE;BAHIA;831834,8844925;754089,115829;813333,76089;817770,304561;910115,2796435;839837,0220975;859222,06825;730778,065556;762690,714212;895418,992269212;860275,574949;935733,364429668;10011099,1471794
TERRA (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;168060,9052185;160446,4860845;175163,310014;177574,304586;175732,151203;179511,9093145;192922,85915;177724,9160435;181331,837617;188939,536583;187411,908348;185352,189526;2150172,313688
TERRA (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;39625,425;27734,63;29597,12;29850,52;30724,75;36508,605;41038,13;41463,842;21063,875;28900,27;36223,53;34538,42;397269,117
MAR (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;230390,0782505;209579,270663;222446,0059885;231209,682179;253327,381895;247430,632127;293861,5183;278657,7672655;302066,658446;307073,2995365;304342,217053;314998,5821885;3195383,0938925
MAR (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;94068,415;84965,02;91122,64;87423;88962,405;83622;86605,785;84838,32;81721,5;84445,55;81721,5;84445,55;1033941,685
MAR (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;256895,4255735;276396,4890155;297040,280663;263934,3530355;302102,292821;248087,030618;286090,18375;248323,3799655;196428,328866;281171,6498395;308701,200052;324304,7846115;3289475,398811
MAR (bep);bep;2001;REGIÃO NORDESTE;BAHIA;0;0;0;0;0;0;0;0;0;10324,56761;18996,72649;24382,559775;53703,853875
MAR (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;-130,460456;-209,3964565;-184,3706725;14,173929;0,727891500000037;8,19939050000004;86,0293;97,9435345;90,579097;65,32652;86,156;262,269;187,1770775
MAR (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;1299593,0194205;955600,40163;1270171,299733;1169173,656665;1078589,0640525;1208666,149292;1408902,3529;1241141,347215;1416004,0228355;1250888,0076175;1446710,6465;1561765,650767;15307205,618628
MAR (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;162524,425;162321,705;187839,085;146439,86;148156,645;163842,105;197550,64;230784,05;179799,97;237366,115;161871,92;177151,94;2155648,46
MAR (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORTE;AMAZONAS;156183,09;118268,115;160953,345;128226,735;145540,29;107714,005;95012,33;147966,595;154757,715;164431,26;151254,46;153142,29;1683450,23
TERRA (bep);bep;2002;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORDESTE;CEARÁ;-19710,193195;-21481,3515;-22671,4446;-21719,0407;-20657,8015;-20051,4153;-21247,9701;-20190,6586;-20940,8493;-20138,965;-21274,4504;-26158,29195;-256242,432145
TERRA (bep);bep;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;70732,09948;70370,0669;61141,1122;53500,8488;51275,6167;38358,1716;38628,6761;46833,07125;61181,1494;60540,99765;3239,33889999999;32020,19415;587821,34313
TERRA (bep);bep;2002;REGIÃO NORDESTE;ALAGOAS;217974,36325;210568,4315;239999,8279;221863,03965;252354,3449;233617,37875;228180,17495;240371,3123;224181,64965;232516,7992;235304,5793;226888,72185;2763820,6232
TERRA (bep);bep;2002;REGIÃO NORDESTE;SERGIPE;-32669,469567;-31633,0623;-36919,8732;-40340,32975;-53226,1632;-49976,24485;-52029,54505;-47839,32265;-45444,81935;-41637,61105;-40281,3509;-39405,79055;-511403,582417
TERRA (bep);bep;2002;REGIÃO NORDESTE;BAHIA;828858,3822085;841570,98445;902632,484705;951691,78265;957667,20805;937448,232;859071,114069;926131,388;764269,8574;710880,075087;824465,839547;873181,9103595;10377869,258526
