PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;766617,355;848883,665;1040187,995;1121915,83;1102296,335;1174800,41;1200330,46;1046028,865;994493,64;1142751,645;1133990,34;1098970,46;12671267
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;380,7734105;362,785178;358,2930295;392,6426665;471,128882;437,865064;450,7346165;414,673896;374,013332;388,3019245;355,9478125;395,062003;4782,221815
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;179958,503375;158478,897801;181125,306481;190024,4325735;212620,0180825;213726,346645;232571,756592;237558,1421535;234936,494261;223435,9130885;201199,966163;206989,558139;2472625,335355
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;323028,03568;289615,0911465;315993,531315;299077,84599;304883,829145;277493,9099345;301766,236275;320357,2757;298845,54154;281858,36574;298676,1183;309451,110745;3621046,891511
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;28179,172154;29500,5118835;33121,900063;31751,0409055;33095,593342;33970,137558;32323,0039825;29503,5298775;29732,5198555;30716,1299655;29537,753448;29726,3850415;371157,6780765
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;1002214,0253125;850262,076111;1000967,394238;940490,4453385;1011384,258997;967179,808574;1003917,656952;1048254,548152;1020908,2542855;1033571,489139;1046095,9165405;1085291,322374;12010537,196014
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;159924,803269;143860,9353475;138101,0709925;138362,0425845;151758,315492;160843,2623385;166445,611353;173895,5048355;179101,2923525;189232,8869935;206687,5832595;188775,641264;1996988,950082
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
