PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;22010;19473;9567;21401;16468;18868;25156;15724;8635;8799;6224;8486;180811
TERRA (mil m3);mil m2;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;59,8197;57,1;55,2;62;74;68,7;71;65,4;59;61,2;56,1;61,4;750,9197
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;10026,7468;7186,7;7335,5;7274,8;6966,2;6804,2;7601,9;7896,2;7808,4;7460,9;6402,6;6716;89480,1468
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;242,99;166,3;122,8;361,2;320,2;236,4;296,6;271,2;215,5;332,9;372,3;285,6;3223,99
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;SERGIPE;672,0667;869,4;553,1;798,9;570,2;935,9;586,7;526,5;541,5;1088,8;608,4;655,9;8407,3667
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;BAHIA;4145,448;3704,7;4090,6;4777;4802,9;4300,3;4000;3828,2;3970,9;4267,9;4380,4;4444,9;50713,248
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;4757,6414;2523,4;1638,7;1462,8;1940,2;1701,8;1907,2;2363,9;2179,7;2179,8;2009,2;2083,7;26748,0414
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
