PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;157019,34;138920,382;68250,978;152674,734;117482,712;134604,312;179462,904;112175,016;61602,09;62772,066;44402,016;60539,124;1289905,674
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;426,7537398;407,3514;393,7968;442,308;527,916;490,1058;506,514;466,5636;420,906;436,6008;400,2174;438,0276;5357,0611398
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;71530,8116712;51269,9178;52331,457;51898,4232;49696,8708;48541,1628;54231,9546;56331,4908;55705,1256;53226,0606;45676,1484;47911,944;638351,3672712
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;1733,49066;1186,3842;876,0552;2576,8008;2284,3068;1686,4776;2115,9444;1934,7408;1537,377;2374,9086;2655,9882;2037,4704;22999,94466
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;4794,5238378;6202,2996;3945,8154;5699,3526;4067,8068;6676,7106;4185,5178;3756,051;3863,061;7767,4992;4340,3256;4679,1906;59978,1540378
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;29573,626032;26429,3298;29182,3404;34079,118;34263,8886;30678,3402;28536;27310,3788;28328,4006;30447,1986;31249,7736;31709,9166;361788,311232
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;33941,0137476;18001,9356;11690,4858;10435,6152;13841,3868;12140,6412;13605,9648;16864,0626;15549,9798;15550,6932;14333,6328;14865,1158;190820,5273476
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;7469,298;8610,738;15930,222;6755,898;7990,08;6491,94;7262,412;4704,1596;5754,9978;6309,3096;5056,5792;6218,7078;88554,342
MAR (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;8076,2116356;8716,3212;9335,5524;9610,2114;8425,9674;11806,77;11904,5058;9720,7884;10446,3162;10805,8698;10305,063;10945,6962;120099,2734356
MAR (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;182,6304;0;0;0;0;0;0;240,4158;0;423,0462
MAR (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;14098,346346;4503,6942;3835,2384;2861,4474;4377,4224;4563,6198;3660,4554;5707,2;10365,702;12876,87;29765,1882;6135,24;102750,424146
MAR (bep);bep;2000;REGIÃO NORDESTE;BAHIA;0,7840266;3,567;4,9938;6,4206;14,9814;24,969;50,6514;2,1402;0;0;0;0;108,5074266
MAR (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;335,298;306,762;328,164;321,03;335,298;321,03;292,494;192,618;214,02;221,154;214,02;221,154;3303,042
MAR (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;1010966,2747134;787379,58;730734,1932;785959,914;904634,7174;1120209,9294;1350919,209;1147938,3606;1373598,195;1392384,1572;1419310,7268;1670590,8954;13694626,1527134
MAR (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO SUL;PARANÁ;32160,072;37510,572;36326,328;39700,71;39565,164;35199,156;30854,55;16229,85;18312,978;16451,004;15894,552;14867,256;333072,192
TERRA (bep);bep;2001;REGIÃO NORTE;AMAZONAS;71240,124;83532,006;65461,584;51614,49;27330,354;43553,07;69256,872;51257,79;65062,08;52449,168;51707,232;74008,116;706472,886
TERRA (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;408,0648;393,7968;467,277;375,2484;407,3514;388,803;444,4482;487,9656;405,9246;484,3986;486,5388;406,638;5156,4552
TERRA (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;50666,3814;51367,6536;59570,3268;68196,7596;49501,3992;46913,184;47796,3732;52310,055;52923,579;61358,1072;56809,4688;49007,7264;646421,0142
TERRA (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;1519,542;1737,129;2711,6334;1715,727;1382,5692;1388,9898;1665,0756;2550,405;1670,7828;2113,8042;2887,91454;4937,01336;26280,5859
TERRA (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;6819,3906;3296,6214;3357,2604;3363,681;4209,06;4011,4482;3031,95;3369,3882;3253,8174;2867,868;3313,743;3703,2594;44597,4876
TERRA (bep);bep;2001;REGIÃO NORDESTE;BAHIA;30802,4718;26895,8934;36408,369;31859,7306;26865,9306;20232,024;19893,159;20060,808;17653,083;18457,0848;17963,412;18551,2536;285643,2198
