PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;79266;97172;130538;134835,0003;134390;143774,9997;142198,9997;128182,56;129893;148504;153066;142467;1564287,5597
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;502,004;707,9328;1363,6794;1712,1245;1709,9156;1051,3118;374,4236;122;437;0;1322,0392;2390,0859;11692,5168
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;ALAGOAS;15437;14367,2;15520;14890;14895;12303;15410;14560;13921;13715;15116,523;15340,63;175475,353
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;SERGIPE;572,001;522;672,0004;560,0004;630,0004;358,9997;781,0003;686;768,9997;838,9998;874;889,0002;8153,0019
TERRA (mil m3);mil m3;2000;REGIÃO NORDESTE;BAHIA;11191,891;22017,699;17633,763;11848,667;13140,334;11715,269;12841,305;16059,862;19660,1;29074,642;27097,215;28179,8103;220460,5573
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;0;105;432;1184;1569;290;0;3580
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (mil m3);mil m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (mil m3);mil m3;2000;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
