PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;502150,11;615584,62;826958,23;854179,7269005;851360,65;910814,6230995;900830,6630995;812036,5176;822872,155;940772,84;969673,11;902528,445;9909761,6906995
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;3180,19534;4484,754288;8638,908999;10846,3087075;10832,315326;6660,060253;2371,973506;772,87;2768,395;0;8375,118332;15141,1941765;74072,093928
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;97793,395;91016,212;98319,2;94328,15;94359,825;77939,505;97622,35;92237,6;88189,535;86884,525;95763,173205;97182,89105;1111636,361255
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;3623,626335;3306,87;4257,122534;3547,602534;3991,052534;2274,2630995;4947,6369005;4345,81;4871,6130995;5315,063733;5536,79;5631,816267;51649,2670365
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;70900,629485;139482,123165;111709,888605;75061,305445;83244,01589;74216,229115;81349,667175;101739,22577;124546,7335;184187,85707;171660,857025;178519,0982505;1396617,6304955
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;0;665,175;2736,72;7500,64;9939,615;1837,15;0;22679,3
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;180591,845;176961,89;180389,125;197525,3;203777,945;189359,485;207718,315;187832,75;192837,4;197271,9;161859,25;175245,105;2251370,31
MAR (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;116460,46076;139305,9132395;121122,0280655;104067,0462265;101766,852705;124960,3792255;127497,14572;105279,559525;113237,73223;140470,82028;62536,744375;123881,35578;1380586,038132
MAR (bep);bep;2000;REGIÃO NORDESTE;BAHIA;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;106332,975;96044,9381675;118610,203733;98243,185068;83660,01;79890,685;63445,025;102588,987466;77210,98;66846,92;93624,965;100612,47;1087111,3444345
MAR (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORTE;AMAZONAS;897531,555375;872380,18;1009228,85;963730,88;1080974,365765;1059378,350765;965943,4421;1015628,840765;1107226,605765;1178121,590765;1151893,05;1167002,025;12469039,7363
TERRA (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;7625,468641;1292,34;0;3325,875;1184,645;937,58;202,72;0;0;2698,71;0;0;17267,338641
TERRA (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;115018,050945;105057,885205;115238,813025;108997,342965;112773,99756;103254,165;104198,08;108423,525;99921,955;98450,3338665;89627,58;97381,62;1258343,3485665
TERRA (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;4149,426267;4548,532534;4643,557534;4808,005265;5075,13321;4936,56142;4747,3223;5179,20459;4918,918445;5039,96129;4693,848565;4492,243525;57232,714945
TERRA (bep);bep;2001;REGIÃO NORDESTE;BAHIA;165214,1399335;139233,6536955;181848,261749;132671,2550695;145805,797452;139213,80424;151063,45975;160400,26149;154525,936355;99872,776395;89665,178225;83998,850145;1643513,3744995
TERRA (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;576,485;4212,775;589,155;7088,865;7668,5175;2803,2375;6632,745;29571,78
TERRA (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORTE;AMAZONAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;194737,9;135315,6;147795,55;138483,1;147098,7;135315,6;110102,3;138039,65;84508,9;81784,85;112623,63;107270,555;1533076,335
MAR (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;160941,707605;95212,192915;110245,122575;96326,113975;91938,13188;125815,298245;104601,04935;142532,539695;122742,177075;102280,849265;84804,345395;77228,98407;1314668,512045
MAR (bep);bep;2001;REGIÃO NORDESTE;BAHIA;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;99282,12;61911,955;65750,965;51573,235;33037,025;33132,05;94207,785;52466,47;89234,81;75380,165;89633,915;110203,66;855814,155
MAR (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
MAR (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORTE;AMAZONAS;1246563,29;1138526,2;1228603,565;1194077,815;1236769,38;1222420,605;1248983,26;1218473,9;1149105,65;1186083,045;1154585,425;1198467,97;14422660,105
TERRA (bep);bep;2002;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORDESTE;CEARÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;6588,4;11383,995;16173,255;5486,11;9844,59;14621,18;6081,6;4022,725;1609,09;126,7;22345,63555;20386,03;118669,31055
TERRA (bep);bep;2002;REGIÃO NORDESTE;ALAGOAS;105186,34;107606,31;112807,7251;86919,43085;104683,0876;116213,35775;111122,42505;100447,3799;101835,125;77914,6718;76183,443;106206,275;1207125,57105
TERRA (bep);bep;2002;REGIÃO NORDESTE;SERGIPE;3807,227305;2700,4838;4129,153;4797,30545;5386,58715;4494,3024;4560,4398;4877,0631;5376,2611;5481,8022;5230,61945;5529,50475;56370,749505
TERRA (bep);bep;2002;REGIÃO NORDESTE;BAHIA;147349,407625;105088,21085;140957,2976;90757,04715;121003,75805;139138,32905;162848,71365;118455,5043;126689,6106;106855,67585;63008,9236;52007,6893;1374160,167625
