PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
LGN (b);b;2000;REGIÃO NORTE;AMAZONAS;75414,8219;76012,35385;239968,83112;184826,06685;241818,03526;222539,76761;192229,17322;150288,72014;130972,71363;265757,05212;201745,65575;252881,81105;2234455,0025
LGN (b);b;2000;REGIÃO NORDESTE;CEARÁ;15793,71291;14988,61723;13674,04694;12931,84936;12623,64867;11843,71223;12233,68045;3673,24904;10793,31396;13013,61689;11095,22484;13158,28252;145822,95504
LGN (b);b;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;163786,6524;157245,25;179007,9926;175013,96325;182027,1014;169063,80299;176202,73734;184844,93628;165862,2897;163723,7543;156792,38368;175083,15116;2048654,0151
LGN (b);b;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2000;REGIÃO NORDESTE;SERGIPE;166554,1688;158018,89663;167132,83132;160012,7664;166088,72286;163811,81164;169283,94634;172045,17293;164346,44549;169604,72665;87604,47368;163981,63651;1908485,59925
LGN (b);b;2000;REGIÃO NORDESTE;BAHIA;200116,59496;175712,13216;201494,06335;192078,21778;203664,0478;197625,8302;204431,40462;207626,6281;162975,26691;182586,89449;193883,39325;202273,99979;2324468,47341
LGN (b);b;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;4836,86389;5264,57097;6195,46285;5950,16026;5648,24938;5893,55197;4050,63764;7522,61276;8019,50775;8390,60654;7535,19238;7484,8739;76792,29029
LGN (b);b;2000;REGIÃO SUDESTE;RIO DE JANEIRO;377388,6;315748,462;326441,139;408523,1595;423304,213;341536,683;323925,215;373614,714;374243,695;406950,707;369840,828;334617,892;4376135,3075
LGN (b);b;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2001;REGIÃO NORTE;AMAZONAS;335561,3635;282305,54223;356028,40524;382521,08496;389332,94919;386697,5188;356877,52959;391943,22034;411831,59956;445765,12451;404057,3944;413800,31009;4556722,04241
LGN (b);b;2001;REGIÃO NORDESTE;CEARÁ;12434,95437;8837,18305;9812,1036;9975,63866;10793,31396;11856,29185;13032,48632;12252,54988;3629,22037;8340,28806;11743,07527;11397,13572;124104,24111
LGN (b);b;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;177397,80124;163818,10145;161396,5246;155578,45035;163346,3657;156490,4728;160390,155;161270,7284;153534,2621;151584,421;150326,459;168441,1118;1923574,85344
LGN (b);b;2001;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2001;REGIÃO NORDESTE;SERGIPE;166906,39816;149678,60857;161050,58505;115594,12818;142722,07871;162314,83686;171309,26516;166459,82165;148596,76125;165560,37882;162604,16812;169044,93356;1881841,96409
LGN (b);b;2001;REGIÃO NORDESTE;BAHIA;189537,13454;189015,08031;203789,844;194116,11622;209129,89269;200783,31482;203802,42362;202242,55074;197009,42882;208148,68233;198682,51828;203066,51585;2399323,50222
LGN (b);b;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;7145,22416;6748,96613;7591,80067;6962,81967;5906,13159;5830,65387;5761,46596;6164,0138;6258,36095;6075,95646;5138,77477;4773,96579;74358,13382
LGN (b);b;2001;REGIÃO SUDESTE;RIO DE JANEIRO;290589,222;211337,616;330215,025;291834,60438;260398,134;306313,747;350971,398;269203,868;344681,588;331032,7003;359148,151;360720,6035;3706446,65718
LGN (b);b;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (b);b;2002;REGIÃO NORTE;AMAZONAS;429399,03889;293388,18745;407592,26762;309012,07549;380822,83626;265002,27492;215828,54034;376841,38653;422492,82751;460527,30858;422241,23511;423304,213;4406452,1917
