PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
LGN (bep);bep;2000;REGIÃO NORTE;AMAZONAS;53583,31;54007,865;170501,288;131321,565;171815,174;158117,689;136581,578;106782,286;93057,987;188824,188;143343,175;179676,145;1587612,25
LGN (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;11221,659;10649,627;9715,606;9188,264;8969,283;8415,127;8692,205;2609,896;7668,804;9246,361;7883,316;9349,148;103609,296
LGN (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;116372,76;111725;127187,74;124349,925;129332,86;120122,251;125194,566;131334,972;117847,53;116328,07;111403,232;124399,084;1455597,99
LGN (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;118339,12;112274,687;118750,268;113691,36;118008,414;116390,636;120278,666;122240,557;116770,501;120506,585;62244,232;116511,299;1356006,325
LGN (bep);bep;2000;REGIÃO NORDESTE;BAHIA;142185,704;124845,984;143164,415;136474,322;144706,22;140415,98;145251,438;147521,69;115796,259;129730,601;137756,925;143718,571;1651568,109
LGN (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;3436,661;3740,553;4401,965;4227,674;4013,162;4187,453;2878,036;5344,924;5697,975;5961,646;5353,862;5318,11;54562,021
LGN (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;268140;224343,8;231941,1;290261,55;300763,7;242666,7;230153,5;265458,6;265905,5;289144,3;262777,2;237750,8;3109306,75
LGN (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2001;REGIÃO NORTE;AMAZONAS;238421,15;200582,127;252963,276;271786,704;276626,631;274754,12;253566,591;278481,266;292612,244;316722,499;287088,56;294011,041;3237616,209
LGN (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;8835,213;6278,945;6971,64;7087,834;7668,804;8424,065;9259,768;8705,612;2578,613;5925,894;8343,623;8097,828;88177,839
LGN (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;126043,676;116395,105;114674,54;110540,715;116059,93;111188,72;113959,5;114585,16;109088,29;107702,9;106809,1;119679,82;1366727,456
LGN (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;118589,384;106348,793;114428,745;82131,282;101406,079;115327,014;121717,684;118272,085;105580,125;117633,018;115532,588;120108,844;1337075,641
LGN (bep);bep;2001;REGIÃO NORDESTE;BAHIA;134668,846;134297,919;144795,6;137922,278;148589,781;142659,418;144804,538;143696,226;139978,018;147892,617;141166,772;144281,665;1704753,678
LGN (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;5076,784;4795,237;5394,083;4947,183;4196,391;4142,763;4093,604;4379,62;4446,655;4317,054;3651,173;3391,971;52832,518
LGN (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;206467,8;150158,4;234622,5;207352,662;185016,6;217640,3;249370,2;191273,2;244901,2;235203,47;255179,9;256297,15;2633483,382
LGN (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2002;REGIÃO NORTE;AMAZONAS;305094,161;208456,505;289600,138;219557,501;270580,074;188287,908;153349,266;267751,197;300187,199;327211,242;300008,439;300763,7;3130847,33
LGN (bep);bep;2002;REGIÃO NORDESTE;CEARÁ;8097,828;7195,09;7239,78;7342,567;10292,107;9746,889;12405,944;13040,542;11154,624;10971,395;15355,484;15981,144;128823,394
LGN (bep);bep;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;128483,75;133600,755;177218,195;168333,823;168137,187;161786,738;148089,253;163538,586;144438,08;131138,336;153845,325;140970,136;1819580,164
LGN (bep);bep;2002;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2002;REGIÃO NORDESTE;SERGIPE;121731,091;107685,024;113427,689;103077,485;111649,027;111072,526;115796,259;114317,02;109043,6;111689,248;110151,912;111532,833;1341173,714
LGN (bep);bep;2002;REGIÃO NORDESTE;BAHIA;146913,906;134574,997;147485,938;140585,802;149237,786;146963,065;149738,314;146297,184;105437,117;66543,41;104319,867;142225,925;1580323,311
LGN (bep);bep;2002;REGIÃO SUDESTE;ESPÍRITO SANTO;4196,391;3865,685;4022,1;4218,736;3879,092;3642,235;4102,542;2766,311;3137,238;4031,038;4062,321;3972,941;45896,63
LGN (bep);bep;2002;REGIÃO SUDESTE;RIO DE JANEIRO;255179,9;216299,6;236092,801;233952,15;343666,1;366011,1;305456,15;356308,901;302998,2;343666,1;315153,88;346347,5;3621132,382
LGN (bep);bep;2002;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2002;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2003;REGIÃO NORTE;AMAZONAS;302269,753;292759,721;325302,979;307704,057;281180,542;316141,529;329986,491;314224,328;312758,496;327036,951;298725,836;334352,704;3742443,387
LGN (bep);bep;2003;REGIÃO NORDESTE;CEARÁ;16405,699;13603,636;13804,741;14475,091;14738,762;12423,82;9438,528;5452,18;951,897;13791,334;10604,937;12942,224;138632,849
LGN (bep);bep;2003;REGIÃO NORDESTE;RIO GRANDE DO NORTE;164124,025;141819,246;151181,801;146632,359;146726,208;136782,683;146489,351;165603,264;165790,962;156642,919;141278,497;147731,733;1810803,048
LGN (bep);bep;2003;REGIÃO NORDESTE;ALAGOAS;0;0;0;7865,44;31041,674;33048,255;26483,294;17339,72;6435,36;15373,36;41248,87;49150,062;227986,035
LGN (bep);bep;2003;REGIÃO NORDESTE;SERGIPE;111595,399;91113,972;115778,383;93138,429;105066,19;101718,909;105289,64;113794,147;108569,886;107358,787;107439,229;111568,585;1272431,556
LGN (bep);bep;2003;REGIÃO NORDESTE;BAHIA;144281,665;134659,908;155878,72;150162,869;155994,914;142999,062;153863,201;146145,238;151467,817;155717,836;150775,122;155623,987;1797570,339
LGN (bep);bep;2003;REGIÃO SUDESTE;ESPÍRITO SANTO;3758,429;3593,076;3928,251;3820,995;3745,022;3472,413;3566,262;3655,642;2954,009;4004,224;4714,795;4200,86;45413,978
LGN (bep);bep;2003;REGIÃO SUDESTE;RIO DE JANEIRO;425448,8;402612,21;466787,05;462541,5;460307;450922,1;470585,7;536726,9;497399,7;485780,3;460307;445559,3;5564977,56
LGN (bep);bep;2003;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2003;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2004;REGIÃO NORTE;AMAZONAS;341896,376;333923,68;344184,504;311346,292;345444,762;350038,894;228044,132;161670,544;357332,302;392708,906;357591,504;435258,255;3959440,151
LGN (bep);bep;2004;REGIÃO NORDESTE;CEARÁ;10613,875;13308,682;10949,05;9402,776;8844,151;9863,083;12450,634;13263,992;13286,337;11163,562;11185,907;13657,264;137989,313
LGN (bep);bep;2004;REGIÃO NORDESTE;RIO GRANDE DO NORTE;167471,306;171864,333;176838,33;171010,754;170143,768;171667,697;176883,02;180114,107;172874,327;189642,015;177825,979;188797,374;2115133,01
LGN (bep);bep;2004;REGIÃO NORDESTE;ALAGOAS;46312,247;44493,364;45838,533;28708,856;47219,454;46669,767;50606,956;49543,334;48685,286;54262,598;52649,289;49958,951;564948,635
LGN (bep);bep;2004;REGIÃO NORDESTE;SERGIPE;107144,275;105008,093;112252,342;109092,759;95247,797;104632,697;111631,151;115626,437;110473,68;114254,454;109325,147;113257,867;1307946,699
LGN (bep);bep;2004;REGIÃO NORDESTE;BAHIA;156173,674;150574,017;161049,353;155261,998;161388,997;154024,085;155936,817;151315,871;147119,48;159628,211;146516,165;144514,053;1843502,721
LGN (bep);bep;2004;REGIÃO SUDESTE;ESPÍRITO SANTO;4518,159;5823,107;5420,897;5403,021;5720,32;5206,385;4250,019;4679,043;4875,679;5117,005;5541,56;5465,587;62020,782
LGN (bep);bep;2004;REGIÃO SUDESTE;RIO DE JANEIRO;471926,4;439749,6;500528;508125,3;507231,5;486227,2;479970,6;512147,4;498293,5;503209,4;479076,8;578735,5;5965221,2
LGN (bep);bep;2004;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2004;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (bep);bep;2005;REGIÃO NORTE;AMAZONAS;432478,537;385513,816;410026,281;402750,749;401173,192;399180,018;420148,566;427348,125;313410,97;209167,076;316338,165;319368,147;4436903,642
LGN (bep);bep;2005;REGIÃO NORDESTE;CEARÁ;13129,922;10126,754;11293,163;11673,028;10435,115;8611,763;10332,328;9894,366;8298,933;8678,798;9867,552;8727,957;121069,679
LGN (bep);bep;2005;REGIÃO NORDESTE;RIO GRANDE DO NORTE;174532,326;167010,999;185727,171;155601,642;176632,756;174134,585;176744,481;178393,542;176310,988;188430,916;170764,959;169169,526;2093453,891
