PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
LGN (m3);m3;2000;REGIÃO NORTE;AMAZONAS;11990;12085;38152;29385;38446;35381;30562;23894;20823;42252;32075;40205;355250
LGN (m3);m3;2000;REGIÃO NORDESTE;CEARÁ;2511;2383;2174;2056;2007;1883;1945;584;1716;2069;1764;2092;23184
LGN (m3);m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;26040;25000;28460;27825;28940;26879;28014;29388;26370;26030;24928;27836;325710
LGN (m3);m3;2000;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2000;REGIÃO NORDESTE;SERGIPE;26480;25123;26572;25440;26406;26044;26914;27353;26129;26965;13928;26071;303425
LGN (m3);m3;2000;REGIÃO NORDESTE;BAHIA;31816;27936;32035;30538;32380;31420;32502;33010;25911;29029;30825;32159;369561
LGN (m3);m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;769;837;985;946;898;937;644;1196;1275;1334;1198;1190;12209
LGN (m3);m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;60000;50200;51900;64950;67300;54300;51500;59400;59500;64700;58800;53200;695750
LGN (m3);m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2001;REGIÃO NORTE;AMAZONAS;53350;44883;56604;60816;61899;61480;56739;62314;65476;70871;64240;65789;724461
LGN (m3);m3;2001;REGIÃO NORDESTE;CEARÁ;1977;1405;1560;1586;1716;1885;2072;1948;577;1326;1867;1812;19731
LGN (m3);m3;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;28204;26045;25660;24735;25970;24880;25500;25640;24410;24100;23900;26780;305824
LGN (m3);m3;2001;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2001;REGIÃO NORDESTE;SERGIPE;26536;23797;25605;18378;22691;25806;27236;26465;23625;26322;25852;26876;299189
LGN (m3);m3;2001;REGIÃO NORDESTE;BAHIA;30134;30051;32400;30862;33249;31922;32402;32154;31322;33093;31588;32285;381462
LGN (m3);m3;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;1136;1073;1207;1107;939;927;916;980;995;966;817;759;11822
LGN (m3);m3;2001;REGIÃO SUDESTE;RIO DE JANEIRO;46200;33600;52500;46398;41400;48700;55800;42800;54800;52630;57100;57350;589278
LGN (m3);m3;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2002;REGIÃO NORTE;AMAZONAS;68269;46645;64802;49129;60546;42132;34314;59913;67171;73218;67131;67300;700570
LGN (m3);m3;2002;REGIÃO NORDESTE;CEARÁ;1812;1610;1620;1643;2303;2181;2776;2918;2496;2455;3436;3576;28826
LGN (m3);m3;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;28750;29895;39655;37667;37623;36202;33137;36594;32320;29344;34425;31544;407156
LGN (m3);m3;2002;REGIÃO NORDESTE;ALAGOAS;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2002;REGIÃO NORDESTE;SERGIPE;27239;24096;25381;23065;24983;24854;25911;25580;24400;24992;24648;24957;300106
LGN (m3);m3;2002;REGIÃO NORDESTE;BAHIA;32874;30113;33002;31458;33394;32885;33506;32736;23593;14890;23343;31825;353619
LGN (m3);m3;2002;REGIÃO SUDESTE;ESPÍRITO SANTO;939;865;900;944;868;815;918;619;702;902;909;889;10270
LGN (m3);m3;2002;REGIÃO SUDESTE;RIO DE JANEIRO;57100;48400;52829;52350;76900;81900;68350;79729;67800;76900;70520;77500;810278
LGN (m3);m3;2002;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;;0
LGN (m3);m3;2002;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2003;REGIÃO NORTE;AMAZONAS;67637;65509;72791;68853;62918;70741;73839;70312;69984;73179;66844;74816;837423
LGN (m3);m3;2003;REGIÃO NORDESTE;CEARÁ;3671;3044;3089;3239;3298;2780;2112;1220;213;3086;2373;2896;31021
LGN (m3);m3;2003;REGIÃO NORDESTE;RIO GRANDE DO NORTE;36725;31734;33829;32811;32832;30607;32779;37056;37098;35051;31613;33057;405192
LGN (m3);m3;2003;REGIÃO NORDESTE;ALAGOAS;0;0;0;1760;6946;7395;5926;3880;1440;3440;9230;10998;51015
LGN (m3);m3;2003;REGIÃO NORDESTE;SERGIPE;24971;20388;25907;20841;23510;22761;23560;25463;24294;24023;24041;24965;284724
LGN (m3);m3;2003;REGIÃO NORDESTE;BAHIA;32285;30132;34880;33601;34906;31998;34429;32702;33893;34844;33738;34823;402231
LGN (m3);m3;2003;REGIÃO SUDESTE;ESPÍRITO SANTO;841;804;879;855;838;777;798;818;661;896;1055;940;10162
LGN (m3);m3;2003;REGIÃO SUDESTE;RIO DE JANEIRO;95200;90090;104450;103500;103000;100900;105300;120100;111300;108700;103000;99700;1245240
LGN (m3);m3;2003;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2003;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
LGN (m3);m3;2004;REGIÃO NORTE;AMAZONAS;76504;74720;77016;69668;77298;78326;51028;36176;79958;87874;80016;97395;885979
LGN (m3);m3;2004;REGIÃO NORDESTE;CEARÁ;2375;2978;2450;2104;1979;2207;2786;2968;2973;2498;2503;3056;30877
LGN (m3);m3;2004;REGIÃO NORDESTE;RIO GRANDE DO NORTE;37474;38457;39570;38266;38072;38413;39580;40303;38683;42435;39791;42246;473290
LGN (m3);m3;2004;REGIÃO NORDESTE;ALAGOAS;10363;9956;10257;6424;10566;10443;11324;11086;10894;12142;11781;11179;126415
LGN (m3);m3;2004;REGIÃO NORDESTE;SERGIPE;23975;23497;25118;24411;21313;23413;24979;25873;24720;25566;24463;25343;292671
LGN (m3);m3;2004;REGIÃO NORDESTE;BAHIA;34946;33693;36037;34742;36113;34465;34893;33859;32920;35719;32785;32337;412509
LGN (m3);m3;2004;REGIÃO SUDESTE;ESPÍRITO SANTO;1011;1303;1213;1209;1280;1165;951;1047;1091;1145;1240;1223;13878
LGN (m3);m3;2004;REGIÃO SUDESTE;RIO DE JANEIRO;105600;98400;112000;113700;113500;108800;107400;114600;111500;112600;107200;129500;1334800
