PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (b);b;2000;REGIÃO NORTE;AMAZONAS;1360347,52718;1259282,8601;1370776,03216;1333527,77734;1348076,10787;1346434,46746;1387261,62417;1245533,33544;1169533,56121;1347610,66193;1302430,9567;1301688,75912;15772503,67068
TERRA (b);b;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (b);b;2000;REGIÃO NORDESTE;CEARÁ;69231,93867;63847,86131;62960,9981;66407,81398;73590,777;72659,88512;81471,90893;76106,701;69018,08513;71942,84678;66697,14524;74867,60843;848803,56969
TERRA (b);b;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;2531088,73191;2258246,208825;2341450,96041;2215856,03433;2230561,61011;2249481,35859;2355590,45329;2331745,78358;2189495,44062;2250229,84598;2139026,00518;2247518,93787;27340291,370695
TERRA (b);b;2000;REGIÃO NORDESTE;ALAGOAS;161019,136;158138,40302;164314,99644;162308,54705;164503,69074;178334,98293;180561,57567;183631,00295;166610,77709;172076,62198;166918,97778;176341,11316;2034759,82481
TERRA (b);b;2000;REGIÃO NORDESTE;SERGIPE;747116,21142;709314,45332;761035,56095;731303,62908;763501,16647;732165,33305;745248,13785;747185,39933;724963,5006;751877,59759;729775,20525;760029,19135;8903515,38626
TERRA (b);b;2000;REGIÃO NORDESTE;BAHIA;1430038,62198;1325382,47339;1421182,5695;1390337,34126;1432598,57465;1377638,21487;1423283,36604;1381657,40346;1368989,72612;1440536,31487;1417521,90008;1438882,09484;16848048,60106
TERRA (b);b;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;304835,64165;275443,35952;285777,51735;291740,25723;327221,07544;345530,71235;389175,70394;415039,40266;428650,5515;488057,80695;482459,87605;534256,4614;4568188,36604
TERRA (b);b;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (b);b;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (b);b;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (b);b;2001;REGIÃO NORTE;AMAZONAS;1268950,29807;1248596,47291;1365335,34651;1272466,30186;1355435,18557;1308582,39088;1204265,89203;1239325,29297;1323376,024;1405954,93949;1355881,76208;1394601,83244;15742771,73881
TERRA (b);b;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (b);b;2001;REGIÃO NORDESTE;CEARÁ;70710,04402;68420,55318;81037,91204;65175,01122;70540,21915;67162,59118;77056,46231;84862,11652;70301,20637;83516,09718;84296,03362;70087,35283;893165,59962
