PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (bep);bep;2000;REGIÃO NORTE;AMAZONAS;1406683,5429079;1302176,42166837;1417467,26253792;1378950,26154337;1393994,135792;1392296,57799741;1434514,38506523;1287958,56213205;1209370,0915111;1393512,83588089;1346794,2242389;1346026,74600226;16309745,0472774
TERRA (bep);bep;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO NORDESTE;CEARÁ;71590,1097512798;66022,6405092434;65105,569056992;68669,7900203518;76097,4183783024;75134,8185560811;84246,9966029189;78699,0395194409;71368,9719542831;74393,3565308566;68968,9764515828;77417,7411074302;877715,428438763
TERRA (bep);bep;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;2617302,41256676;2335166,35588956;2421205,21905344;2291332,2916878;2306538,76725776;2326102,95823912;2435826,32986664;2411169,4655015;2264073,80618152;2326876,94052861;2211885,28609028;2324073,69374903;28271553,526612
TERRA (bep);bep;2000;REGIÃO NORDESTE;ALAGOAS;166503,753032867;163524,896826263;169911,876727758;167837,0838677;170106,998313344;184409,410536753;186711,84524666;189885,823038849;172285,856019047;177937,877948171;172604,554608837;182347,6257824;2104067,60194865
TERRA (bep);bep;2000;REGIÃO NORDESTE;SERGIPE;772564,405966796;733475,048321189;786957,874930145;756213,21709474;789507,463648461;757104,27233558;770632,702269501;772635,950548177;749657,131819071;777487,973976401;754632,732251499;785917,22647369;9206785,99963525
TERRA (bep);bep;2000;REGIÃO NORDESTE;BAHIA;1478748,44851744;1370527,51309893;1469590,74210063;1437694,86691028;1481395,59802855;1424563,18420038;1471763,09575349;1428719,27397335;1415620,11152772;1489603,71272884;1465805,38334028;1487893,14682854;17421925,0770084
TERRA (bep);bep;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;315218,921513199;284825,482531848;295511,641369074;301677,483473573;338366,845616479;357300,143471115;402431,766217016;429176,43154792;443251,201921479;504681,981116613;498893,37407758;552454,24932077;4723789,52217666
TERRA (bep);bep;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORTE;AMAZONAS;1309831,38189692;1288821,828586;1409321,61519004;1313460,65887492;1399102,50613214;1350740,28035554;1243063,07341437;1279251,96406798;1366010,51193381;1451249,8275763;1399563,46975546;1439530,96363124;16249948,0814147
TERRA (bep);bep;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO NORDESTE;CEARÁ;72988,0711747146;70624,8210495059;83648,6665197494;67274,7192236606;72812,7751489436;69326,3319697209;79538,9485822299;87596,0733222958;72566,0622237845;86206,6900069258;87011,7532363925;72345,319080221;921940,231538144
TERRA (bep);bep;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;2361140,08045404;1953739,1316715;2017170,32321899;2172709,83764104;2226110,2010472;2128320,98844859;2320932,3660985;2326996,31010109;2301954,94819744;2279296,31375519;2270538,00491204;2289697,21128427;26648605,7168299
TERRA (bep);bep;2001;REGIÃO NORDESTE;ALAGOAS;181652,129816522;163168,137765782;174841,55459305;172601,66093042;183723,219898779;181911,827632479;187988,756525873;181139,226630007;184177,691076704;189845,595909965;184140,099817844;190987,03273555;2176176,93333297
TERRA (bep);bep;2001;REGIÃO NORDESTE;SERGIPE;782404,595024449;709280,182496357;798849,959219926;785689,772396305;812750,284819024;793182,054386664;823177,152129698;814678,541102505;785514,476370534;810523,376047193;783709,576549633;809348,243429987;9509108,21397227
TERRA (bep);bep;2001;REGIÃO NORDESTE;BAHIA;1490795,31250115;1346714,96420821;1465786,41282449;1388863,91973803;1443939,33405711;1386020,2286533;1372100,42571801;1403822,51393715;1371440,79326548;1432019,20430468;1345031,21341845;1388477,09984116;16835011,4224672
TERRA (bep);bep;2001;REGIÃO SUDESTE;ESPÍRITO SANTO;571244,300869813;537983,50309112;594435,315834773;571529,968467365;613419,22618123;641648,378775755;669052,990804618;687076,019232033;686647,517835704;683686,962733794;506053,656619207;552435,686549127;7315213,52699454
TERRA (bep);bep;2001;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2001;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORTE;AMAZONAS;1460746,49765781;1297471,94843431;1421980,57541932;1331713,12107059;1430542,49384765;1382629,55624951;1450000,21735256;1447373,78223863;1369386,86237062;1384755,40843331;1219224,98548571;1252556,00733994;16448381,4559
TERRA (bep);bep;2002;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (bep);bep;2002;REGIÃO NORDESTE;CEARÁ;78214,4575635251;65062,7787628426;82095,6005412846;66415,0027818945;72330,9828652465;71869,4063972048;68553,8571197218;65381,3315365616;64737,724912109;78552,5135682881;72799,0604103029;69652,5391352014;855665,255594183
TERRA (bep);bep;2002;REGIÃO NORDESTE;RIO GRANDE DO NORTE;2236565,52535779;2078036,762355;2184121,33708042;2091233,94869478;2205828,43323242;2206010,46338883;2196765,93187396;2155068,02390185;2112134,91129696;2168271,71131865;2107168,08845775;2137261,57395867;25878466,7109171
TERRA (bep);bep;2002;REGIÃO NORDESTE;ALAGOAS;218187,261454105;194285,20666965;207555,335093539;186843,878886345;202447,958969272;188822,22163268;193718,31275397;229393,557968917;215788,884121852;221899,051375632;232234,333592018;237454,113337869;2528630,11585585
TERRA (bep);bep;2002;REGIÃO NORDESTE;SERGIPE;810398,256341018;732671,379553594;812556,61390989;796889,018304529;828926,325832835;822574,7735895;867243,673757315;847967,980408811;847350,378092417;901504,349624639;873900,776620339;864571,731104284;10006555,2571392
