PRODUTO;UNIDADE;ANO;REGIÃO;ESTADO;JAN;FEV;MAR;ABR;MAI;JUN;JUL;AGO;SET;OUT;NOV;DEZ;TOTAL
TERRA (m3);m3;2000;REGIÃO NORTE;AMAZONAS;216278;200210;217936;212014;214327;214066;220557;198024;185941;214253;207070;206952;2507628
TERRA (m3);m3;2000;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (m3);m3;2000;REGIÃO NORDESTE;CEARÁ;11007;10151;10010;10558;11700;11552;12953;12100;10973;11438;10604;11903;134949
TERRA (m3);m3;2000;REGIÃO NORDESTE;RIO GRANDE DO NORTE;402411;359032,5;372261;352293;354631;357639;374509;370718;348102;357758;340078;357327;4346759,5
TERRA (m3);m3;2000;REGIÃO NORDESTE;ALAGOAS;25600;25142;26124;25805;26154;28353;28707;29195;26489;27358;26538;28036;323501
TERRA (m3);m3;2000;REGIÃO NORDESTE;SERGIPE;118782;112772;120995;116268;121387;116405;118485;118793;115260;119539;116025;120835;1415546
TERRA (m3);m3;2000;REGIÃO NORDESTE;BAHIA;227358;210719;225950;221046;227765;219027;226284;219666;217652;229027;225368;228764;2678626
TERRA (m3);m3;2000;REGIÃO SUDESTE;ESPÍRITO SANTO;48465;43792;45435;46383;52024;54935;61874;65986;68150;77595;76705;84940;726284
TERRA (m3);m3;2000;REGIÃO SUDESTE;RIO DE JANEIRO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (m3);m3;2000;REGIÃO SUDESTE;SÃO PAULO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (m3);m3;2000;REGIÃO SUL;PARANÁ;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (m3);m3;2001;REGIÃO NORTE;AMAZONAS;201747;198511;217071;202306;215497;208048;191463;197037;210400;223529;215568;221724;2502901
TERRA (m3);m3;2001;REGIÃO NORDESTE;MARANHÃO;0;0;0;0;0;0;0;0;0;0;0;0;0
TERRA (m3);m3;2001;REGIÃO NORDESTE;CEARÁ;11242;10878;12884;10362;11215;10678;12251;13492;11177;13278;13402;11143;142002
TERRA (m3);m3;2001;REGIÃO NORDESTE;RIO GRANDE DO NORTE;363675;300925;310695;334652;342877;327815;357482;358416;354559;351069;349720;352671;4104556
TERRA (m3);m3;2001;REGIÃO NORDESTE;ALAGOAS;27979;25132;26930;26585;28298;28019;28955;27900;28368;29241;28362,21;29416,81;335186,02
TERRA (m3);m3;2001;REGIÃO NORDESTE;SERGIPE;120510;109247;123043;121016;125184;122170;126790;125481;120989;124841;120711;124660;1464642
TERRA (m3);m3;2001;REGIÃO NORDESTE;BAHIA;229620;207428;225768;213920;222403;213482;211338;216224;211236,4;220567;207168,66;213860,42;2593015,48
